x,y
12.91385188,29.21654402
12.91385188,29.21654402
12.91385188,29.21654402
12.91385188,29.21654402
12.91385188,29.21654402
12.91385188,29.21654402
8.52431189,29.21654402
8.52431189,29.21654402
8.52431189,29.21654402
8.52431189,29.21654402
8.52431189,29.21654402
8.52431189,29.21654402
4.1347719,29.21654402
4.1347719,29.21654402
4.1347719,29.21654402
4.1347719,29.21654402
4.1347719,29.21654402
4.1347719,29.21654402
12.91385188,27.42843992
12.91385188,27.42843992
12.91385188,27.42843992
12.91385188,27.42843992
12.91385188,27.42843992
12.91385188,27.42843992
8.52431189,27.42843992
8.52431189,27.42843992
8.52431189,27.42843992
8.52431189,27.42843992
8.52431189,27.42843992
8.52431189,27.42843992
4.1347719,27.42843992
4.1347719,27.42843992
4.1347719,27.42843992
4.1347719,27.42843992
4.1347719,27.42843992
4.1347719,27.42843992
12.91385188,25.64033581
12.91385188,25.64033581
12.91385188,25.64033581
12.91385188,25.64033581
12.91385188,25.64033581
12.91385188,25.64033581
8.52431189,25.64033581
8.52431189,25.64033581
8.52431189,25.64033581
8.52431189,25.64033581
8.52431189,25.64033581
8.52431189,25.64033581
4.1347719,25.64033581
4.1347719,25.64033581
4.1347719,25.64033581
4.1347719,25.64033581
4.1347719,25.64033581
4.1347719,25.64033581
12.91385188,23.8522317
12.91385188,23.8522317
12.91385188,23.8522317
12.91385188,23.8522317
12.91385188,23.8522317
12.91385188,23.8522317
8.52431189,23.8522317
8.52431189,23.8522317
8.52431189,23.8522317
8.52431189,23.8522317
8.52431189,23.8522317
8.52431189,23.8522317
4.1347719,23.8522317
4.1347719,23.8522317
4.1347719,23.8522317
4.1347719,23.8522317
4.1347719,23.8522317
4.1347719,23.8522317
12.91385188,22.06412759
12.91385188,22.06412759
12.91385188,22.06412759
12.91385188,22.06412759
12.91385188,22.06412759
12.91385188,22.06412759
8.52431189,22.06412759
8.52431189,22.06412759
8.52431189,22.06412759
8.52431189,22.06412759
8.52431189,22.06412759
8.52431189,22.06412759
4.1347719,22.06412759
4.1347719,22.06412759
4.1347719,22.06412759
4.1347719,22.06412759
4.1347719,22.06412759
4.1347719,22.06412759
12.91385188,20.27602349
12.91385188,20.27602349
12.91385188,20.27602349
12.91385188,20.27602349
12.91385188,20.27602349
12.91385188,20.27602349
8.52431189,20.27602349
8.52431189,20.27602349
8.52431189,20.27602349
8.52431189,20.27602349
8.52431189,20.27602349
8.52431189,20.27602349
4.1347719,20.27602349
4.1347719,20.27602349
4.1347719,20.27602349
4.1347719,20.27602349
4.1347719,20.27602349
4.1347719,20.27602349
12.91385188,18.48791938
12.91385188,18.48791938
12.91385188,18.48791938
12.91385188,18.48791938
12.91385188,18.48791938
12.91385188,18.48791938
8.52431189,18.48791938
8.52431189,18.48791938
8.52431189,18.48791938
8.52431189,18.48791938
8.52431189,18.48791938
8.52431189,18.48791938
4.1347719,18.48791938
4.1347719,18.48791938
4.1347719,18.48791938
4.1347719,18.48791938
4.1347719,18.48791938
4.1347719,18.48791938
12.91385188,16.69981527
12.91385188,16.69981527
12.91385188,16.69981527
12.91385188,16.69981527
12.91385188,16.69981527
12.91385188,16.69981527
8.52431189,16.69981527
8.52431189,16.69981527
8.52431189,16.69981527
8.52431189,16.69981527
8.52431189,16.69981527
8.52431189,16.69981527
4.1347719,16.69981527
4.1347719,16.69981527
4.1347719,16.69981527
4.1347719,16.69981527
4.1347719,16.69981527
4.1347719,16.69981527
4.1347719,16.69981527
4.1347719,16.69981527
4.1347719,16.69981527
4.1347719,16.69981527
4.1347719,16.69981527
4.1347719,16.69981527
8.52431189,16.69981527
8.52431189,16.69981527
8.52431189,16.69981527
8.52431189,16.69981527
8.52431189,16.69981527
8.52431189,16.69981527
12.91385188,16.69981527
12.91385188,16.69981527
12.91385188,16.69981527
12.91385188,16.69981527
12.91385188,16.69981527
12.91385188,16.69981527
4.1347719,18.48791938
4.1347719,18.48791938
4.1347719,18.48791938
4.1347719,18.48791938
4.1347719,18.48791938
4.1347719,18.48791938
8.52431189,18.48791938
8.52431189,18.48791938
8.52431189,18.48791938
8.52431189,18.48791938
8.52431189,18.48791938
8.52431189,18.48791938
12.91385188,18.48791938
12.91385188,18.48791938
12.91385188,18.48791938
12.91385188,18.48791938
12.91385188,18.48791938
12.91385188,18.48791938
4.1347719,20.27602349
4.1347719,20.27602349
4.1347719,20.27602349
4.1347719,20.27602349
4.1347719,20.27602349
4.1347719,20.27602349
8.52431189,20.27602349
8.52431189,20.27602349
8.52431189,20.27602349
8.52431189,20.27602349
8.52431189,20.27602349
8.52431189,20.27602349
12.91385188,20.27602349
12.91385188,20.27602349
12.91385188,20.27602349
12.91385188,20.27602349
12.91385188,20.27602349
12.91385188,20.27602349
4.1347719,22.06412759
4.1347719,22.06412759
4.1347719,22.06412759
4.1347719,22.06412759
4.1347719,22.06412759
4.1347719,22.06412759
8.52431189,22.06412759
8.52431189,22.06412759
8.52431189,22.06412759
8.52431189,22.06412759
8.52431189,22.06412759
8.52431189,22.06412759
12.91385188,22.06412759
12.91385188,22.06412759
12.91385188,22.06412759
12.91385188,22.06412759
12.91385188,22.06412759
12.91385188,22.06412759
4.1347719,23.8522317
4.1347719,23.8522317
4.1347719,23.8522317
4.1347719,23.8522317
4.1347719,23.8522317
4.1347719,23.8522317
8.52431189,23.8522317
8.52431189,23.8522317
8.52431189,23.8522317
8.52431189,23.8522317
8.52431189,23.8522317
8.52431189,23.8522317
12.91385188,23.8522317
12.91385188,23.8522317
12.91385188,23.8522317
12.91385188,23.8522317
12.91385188,23.8522317
12.91385188,23.8522317
4.1347719,25.64033581
4.1347719,25.64033581
4.1347719,25.64033581
4.1347719,25.64033581
4.1347719,25.64033581
4.1347719,25.64033581
8.52431189,25.64033581
8.52431189,25.64033581
8.52431189,25.64033581
8.52431189,25.64033581
8.52431189,25.64033581
8.52431189,25.64033581
12.91385188,25.64033581
12.91385188,25.64033581
12.91385188,25.64033581
12.91385188,25.64033581
12.91385188,25.64033581
12.91385188,25.64033581
4.1347719,27.42843992
4.1347719,27.42843992
4.1347719,27.42843992
4.1347719,27.42843992
4.1347719,27.42843992
4.1347719,27.42843992
8.52431189,27.42843992
8.52431189,27.42843992
8.52431189,27.42843992
8.52431189,27.42843992
8.52431189,27.42843992
8.52431189,27.42843992
12.91385188,27.42843992
12.91385188,27.42843992
12.91385188,27.42843992
12.91385188,27.42843992
12.91385188,27.42843992
12.91385188,27.42843992
4.1347719,29.21654402
